script,final_path,family,base_score,final_score,tier,total_refs,workflow_refs,test_refs,docs_refs,recent_commits_180d,last_days
sidecar_probe.py,scripts/quant/sidecar_probe.py,sidecar_probe,5,5,MidTier,5,1,1,0,1,10
build_benchmark_leaderboard.py,scripts/benchmarks/build_benchmark_leaderboard.py,benchmark_leaderboard,4,4,MidTier,2,1,1,0,1,14
check_docs_project_hygiene.py,scripts/governance/check_docs_project_hygiene.py,project_hygiene,4,4,MidTier,2,1,0,1,1,2
check_gitea_state_hardening.py,scripts/gitea/check_gitea_state_hardening.py,gitea_state,5,4,MidTier,4,1,1,0,1,16
check_gitea_state_phase3_readiness.py,scripts/gitea/check_gitea_state_phase3_readiness.py,gitea_state,5,4,MidTier,4,1,1,0,3,16
check_gitea_state_pilot_readiness.py,scripts/gitea/check_gitea_state_pilot_readiness.py,gitea_state,5,4,MidTier,4,1,1,0,3,16
check_microservices_unlock.py,scripts/acceptance/check_microservices_unlock.py,microservices_unlock,5,4,MidTier,4,1,2,0,1,16
check_model_provider_preflight.py,scripts/providers/check_model_provider_preflight.py,model_provider,4,4,MidTier,2,0,0,2,3,3
check_monolith_readiness_gate.py,scripts/acceptance/check_monolith_readiness_gate.py,monolith_readiness,4,4,MidTier,2,1,1,0,3,16
evaluate_odr_calibration_bundle.py,scripts/odr/evaluate_odr_calibration_bundle.py,evaluate_odr,4,4,MidTier,2,0,2,0,2,4
generate_odr_role_matrix_index.py,scripts/odr/generate_odr_role_matrix_index.py,odr_role,6,4,MidTier,10,0,2,0,5,4
play_lie_detector.py,scripts/extensions/play_lie_detector.py,lie_detector,4,4,MidTier,3,0,0,2,1,1
register_meta_breaker_extension.py,scripts/extensions/register_meta_breaker_extension.py,meta_breaker,5,4,MidTier,4,0,3,1,2,3
register_textmystery_bridge_extension.py,scripts/extensions/register_textmystery_bridge_extension.py,textmystery_bridge,5,4,MidTier,4,0,2,2,4,2
release_smoke.py,scripts/governance/release_smoke.py,smoke,4,4,MidTier,3,0,0,3,3,18
render_benchmark_dashboard.py,scripts/benchmarks/render_benchmark_dashboard.py,benchmark_dashboard,4,4,MidTier,2,1,1,0,2,14
replay_comparator.py,scripts/replay/replay_comparator.py,replay_comparator,4,4,MidTier,3,0,0,3,2,2
report_failure_modes.py,scripts/replay/report_failure_modes.py,failure_modes,4,4,MidTier,3,0,0,2,1,18
run_arbiter.py,scripts/odr/run_arbiter.py,arbiter,4,4,MidTier,2,0,2,0,3,4
run_architecture_pilot_matrix.py,scripts/acceptance/run_architecture_pilot_matrix.py,architecture_pilot,4,4,MidTier,2,1,1,0,2,16
run_cli_regression_smoke.py,scripts/governance/run_cli_regression_smoke.py,cli_regression,4,4,MidTier,3,0,0,3,1,6
run_extension_workload_baseline.py,scripts/extensions/run_extension_workload_baseline.py,extension_workload,4,4,MidTier,2,0,1,1,1,3
run_gitea_state_rollout_gates.py,scripts/gitea/run_gitea_state_rollout_gates.py,gitea_state,2,4,MidTier,0,0,0,0,1,16
run_gitea_state_worker_coordinator.py,scripts/gitea/run_gitea_state_worker_coordinator.py,gitea_state,2,4,MidTier,0,0,0,0,2,16
run_meta_breaker_scenarios.py,scripts/extensions/run_meta_breaker_scenarios.py,meta_breaker,4,4,MidTier,2,0,1,1,1,3
run_meta_breaker_workload.py,scripts/extensions/run_meta_breaker_workload.py,meta_breaker,3,4,MidTier,1,0,0,1,1,3
run_microservices_unlock_evidence.py,scripts/acceptance/run_microservices_unlock_evidence.py,microservices_unlock,2,4,MidTier,0,0,0,0,2,16
run_nervous_system_attack_torture_pack.py,scripts/nervous_system/run_nervous_system_attack_torture_pack.py,nervous_system,3,4,MidTier,1,0,1,0,1,0
run_nervous_system_live_evidence.py,scripts/nervous_system/run_nervous_system_live_evidence.py,nervous_system,4,4,MidTier,3,0,1,2,1,0
run_odr_quant_sweep.py,scripts/odr/run_odr_quant_sweep.py,odr_quant,5,4,MidTier,4,0,4,0,4,4
run_odr_role_matrix.py,scripts/odr/run_odr_role_matrix.py,odr_role,2,4,MidTier,0,0,0,0,1,6
run_security_regression_suite.py,scripts/security/run_security_regression_suite.py,security_regression,4,4,MidTier,2,0,0,2,1,1
run_stream_scenario.py,scripts/streaming/run_stream_scenario.py,stream_scenario,4,4,MidTier,2,0,0,2,7,3
run_textmystery_bridge_workload.py,scripts/extensions/run_textmystery_bridge_workload.py,textmystery_bridge,4,4,MidTier,2,0,0,2,2,3
run_textmystery_easy_smoke.py,scripts/extensions/run_textmystery_easy_smoke.py,textmystery_easy,4,4,MidTier,3,0,0,3,3,3
update_nervous_system_policy_digest_snapshot.py,scripts/nervous_system/update_nervous_system_policy_digest_snapshot.py,nervous_system,5,4,MidTier,3,1,2,0,2,0
workitem_migration_dry_run.py,scripts/governance/workitem_migration_dry_run.py,migration_dry,4,4,MidTier,3,0,1,2,1,6
